vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
2.289999999999995e+00	1.968391e+00
2.299999999999995e+00	1.946516e+00
2.309999999999995e+00	1.924584e+00
2.319999999999995e+00	1.902597e+00
2.329999999999994e+00	1.880555e+00
2.339999999999994e+00	1.858460e+00
2.349999999999994e+00	1.836313e+00
2.359999999999994e+00	1.814114e+00
2.369999999999993e+00	1.791865e+00
2.379999999999993e+00	1.769567e+00
2.389999999999993e+00	1.747220e+00
2.399999999999993e+00	1.724827e+00
2.409999999999993e+00	1.702425e+00
2.419999999999992e+00	1.680902e+00
2.429999999999992e+00	1.660519e+00
2.439999999999992e+00	1.641148e+00
2.449999999999992e+00	1.622679e+00
2.459999999999992e+00	1.605024e+00
2.469999999999991e+00	1.588105e+00
2.479999999999991e+00	1.571858e+00
2.489999999999991e+00	1.556226e+00
2.499999999999991e+00	1.541161e+00
2.509999999999990e+00	1.526619e+00
2.519999999999990e+00	1.512562e+00
2.529999999999990e+00	1.498957e+00
2.539999999999990e+00	1.485773e+00
2.549999999999990e+00	1.472984e+00
2.559999999999989e+00	1.460565e+00
2.569999999999989e+00	1.448495e+00
2.579999999999989e+00	1.436753e+00
2.589999999999989e+00	1.425321e+00
2.599999999999989e+00	1.414183e+00
2.609999999999988e+00	1.403323e+00
2.619999999999988e+00	1.392727e+00
2.629999999999988e+00	1.382383e+00
2.639999999999988e+00	1.372279e+00
2.649999999999987e+00	1.362402e+00
2.659999999999987e+00	1.352744e+00
2.669999999999987e+00	1.343295e+00
2.679999999999987e+00	1.334045e+00
2.689999999999987e+00	1.324986e+00
2.699999999999986e+00	1.316111e+00
2.709999999999986e+00	1.307413e+00
2.719999999999986e+00	1.298883e+00
2.729999999999986e+00	1.290517e+00
2.739999999999986e+00	1.282308e+00
2.749999999999985e+00	1.274249e+00
2.759999999999985e+00	1.266337e+00
2.769999999999985e+00	1.258566e+00
2.779999999999985e+00	1.250930e+00
2.789999999999984e+00	1.243426e+00
2.799999999999984e+00	1.236048e+00
2.809999999999984e+00	1.228794e+00
2.819999999999984e+00	1.221659e+00
2.829999999999984e+00	1.214639e+00
2.839999999999983e+00	1.207731e+00
2.849999999999983e+00	1.200931e+00
2.859999999999983e+00	1.194236e+00
2.869999999999983e+00	1.187644e+00
2.879999999999983e+00	1.181150e+00
2.889999999999982e+00	1.174754e+00
2.899999999999982e+00	1.168450e+00
2.909999999999982e+00	1.162238e+00
2.919999999999982e+00	1.156115e+00
2.929999999999982e+00	1.150078e+00
2.939999999999981e+00	1.144125e+00
2.949999999999981e+00	1.138253e+00
2.959999999999981e+00	1.132462e+00
2.969999999999981e+00	1.126748e+00
2.979999999999980e+00	1.121110e+00
2.989999999999980e+00	1.115547e+00
2.999999999999980e+00	1.110055e+00
3.009999999999980e+00	1.104634e+00
3.019999999999980e+00	1.099282e+00
3.029999999999979e+00	1.093997e+00
3.039999999999979e+00	1.088778e+00
3.049999999999979e+00	1.083623e+00
3.059999999999979e+00	1.078530e+00
3.069999999999979e+00	1.073499e+00
3.079999999999978e+00	1.068528e+00
3.089999999999978e+00	1.063616e+00
3.099999999999978e+00	1.058761e+00
3.109999999999978e+00	1.053963e+00
3.119999999999977e+00	1.049220e+00
3.129999999999977e+00	1.044530e+00
3.139999999999977e+00	1.039894e+00
3.149999999999977e+00	1.035309e+00
3.159999999999977e+00	1.030775e+00
3.169999999999976e+00	1.026291e+00
3.179999999999976e+00	1.021855e+00
